ID,Age,Gender,LicenceCountry,Yrs DL,Points,NCD,Engine cc,Ins Group,Stored,Car Age,Claim
B69193007,52,M,UK,16,0,0,1200,4,Garage,2,No
B58763002,46,F,UK,22,8,1,1400,2,Garage,7,Yes
A57010377,59,F,UK,9,0,0,1400,5,Garage,14,No
B61470950,62,M,UK,35,0,0,1400,4,0,12,No
B43586226,59,F,UK,3,0,4,1400,5,Road,13,Yes
B78248875,78,M,UK,57,4,1,1800,3,Garage,1,Yes
A27238029,63,F,UK,3,0,4,1400,6,Road,14,Yes
B43802155,30,M,UK,13,8,1,1200,4,Garage,6,Yes
A43751408,24,M,UK,5,0,3,1200,3,Garage,13,Yes
B34182940,23,M,UK,3,0,2,1200,2,Garage,4,Yes
A53097453,47,F,UK,13,0,2,1200,6,Road,4,Yes
B68142848,59,M,UK,2,0,0,1400,6,Garage,18,No
A83469167,74,M,UK,39,0,3,1200,3,Garage,3,No
A62392603,68,M,UK,12,0,4,1200,2,Drive,3,No
A29440871,41,F,UK,10,0,1,1200,5,Garage,6,No
B734996,54,F,UK,16,4,0,1200,2,Garage,7,Yes
A26187593,75,F,UK,34,0,0,1200,2,Garage,5,No
B44755504,71,M,UK,33,0,0,1600,6,Drive,14,Yes
A59005337,46,M,UK,25,0,4,1400,4,Garage,4,No
B11118071,71,F,UK,43,0,0,1200,4,Garage,2,Yes
A67625970,65,F,UK,12,0,2,1200,5,Road,3,Yes
A51613825,76,F,UK,11,0,2,2000,8,Garage,1,Yes
B26399935,35,F,UK,2,8,4,1400,6,Garage,1,Yes
A934516,33,M,UK,8,0,2,1200,5,Garage,7,No
B76423704,46,M,UK,4,0,4,1400,5,Garage,2,No
B16389418,79,M,UK,49,8,4,1200,5,Road,13,Yes
B40640538,72,M,UK,44,0,0,1400,3,Garage,5,No
A84705391,52,F,UK,19,0,0,1200,3,Drive,2,No
A89274932,61,F,UK,16,0,1,1600,5,Garage,5,Yes
B13608169,64,M,UK,2,0,0,1200,5,Garage,1,No
B40146286,19,F,UK,2,0,4,1400,2,Road,10,Yes
B4551947,29,F,UK,8,0,1,1400,3,Garage,3,No
B96009855,35,F,UK,1,0,1,1200,5,Garage,1,No
B78670893,48,F,UK,13,0,0,1200,2,Garage,2,No
A26167681,57,F,UK,8,0,0,1800,6,Road,7,Yes
B45786256,23,F,UK,5,8,4,1200,3,Garage,11,Yes
A55826525,38,F,UK,2,0,1,1200,6,Garage,5,No
B54979828,27,M,UK,8,0,2,1200,4,Garage,8,No
B2809894,31,F,UK,1,0,4,1200,3,Garage,2,No
B49932351,54,M,UK,11,0,3,1600,6,Garage,16,Yes
A71964819,25,F,UK,1,0,1,1400,6,Road,8,No
A16285334,64,F,UK,40,0,3,1200,5,Drive,2,Yes
A2549827,72,M,UK,3,0,3,1200,2,Drive,13,No
A98945168,58,M,UK,30,0,2,1400,6,Drive,1,Yes
A61138562,44,F,UK,3,0,4,1600,3,Drive,19,No
A97658103,18,F,UK,1,0,4,1200,5,Garage,19,No
A54223412,54,M,UK,10,0,2,1200,4,Road,7,Yes
A83495258,49,M,UK,9,0,4,1800,4,Road,1,Yes
B42564024,52,M,UK,26,0,4,1400,6,Garage,1,No
A55314630,29,F,UK,10,0,1,1200,3,Road,2,No
A31543760,54,F,UK,33,0,1,1200,2,Drive,7,No
A93821263,32,M,UK,12,0,2,1200,4,Garage,13,No
B89282905,72,F,UK,5,0,2,1200,2,Garage,7,Yes
B19125937,66,M,UK,43,0,4,1200,6,Road,5,Yes
B86743739,28,F,UK,6,0,1,1400,7,Garage,3,No
B13084130,27,M,UK,4,0,4,1600,6,Garage,2,No
B82112098,50,M,UK,30,0,2,1400,3,Garage,19,No
B87657262,66,F,UK,31,0,4,1400,5,Garage,7,Yes
B69290497,74,F,UK,56,0,0,1200,2,Drive,14,Yes
B31071689,24,M,UK,6,4,3,1200,4,Garage,3,Yes
B92373934,28,F,UK,9,0,4,1200,3,Road,1,No
B47037152,71,M,UK,34,0,1,1600,4,Garage,12,Yes
B95044763,68,F,UK,13,0,2,1600,7,Garage,10,Yes
A44129273,23,M,UK,6,0,2,1400,4,Garage,4,Yes
A24219917,53,M,UK,21,0,3,1800,6,Garage,10,Yes
A80314542,80,F,UK,18,0,2,1400,6,Road,10,Yes
A889531,51,F,UK,22,0,1,1200,3,Garage,1,No
A26046531,79,F,UK,47,0,4,1400,4,Drive,1,Yes
A11836249,80,F,UK,46,0,0,1200,2,Road,5,Yes
A1001197,58,F,UK,13,0,4,1600,7,Garage,14,No
A44443077,74,F,UK,36,0,1,1400,6,Garage,4,Yes
B61875654,25,M,UK,8,0,0,1800,7,Garage,1,No
A39766093,27,F,UK,1,0,0,1200,6,Garage,5,No
A72576191,79,M,UK,10,0,3,1400,3,Garage,14,Yes
B14814117,41,M,UK,13,0,4,1200,6,Road,2,Yes
B14806368,77,F,UK,4,4,4,1200,5,Garage,1,Yes
B56353342,67,F,UK,28,0,3,1200,5,Road,11,Yes
B90248504,25,M,UK,4,0,1,1400,5,Road,3,No
B70876137,46,M,UK,8,8,4,1200,2,Garage,13,Yes
B4983068,64,F,UK,31,0,4,1800,6,Road,1,Yes
B13158054,47,F,UK,28,0,3,1400,4,Garage,1,No
A32655251,58,F,UK,37,4,3,1200,2,Garage,2,Yes
B69418221,44,F,UK,7,0,1,1400,6,Road,13,Yes
A75488466,34,M,UK,6,4,3,1200,3,Drive,1,Yes
A83758823,28,M,UK,10,0,0,1400,3,Road,1,No
B16099711,76,M,UK,34,0,2,1400,2,Garage,11,No
B9303340,50,M,UK,18,0,3,1800,5,Drive,8,Yes
B62715325,21,M,UK,1,0,3,1200,6,Road,6,Yes
B24893516,51,M,UK,4,0,3,1400,3,Drive,2,No
A49815873,39,M,UK,15,0,4,1400,4,Garage,1,No
A70458628,35,M,UK,9,0,0,1400,4,Garage,18,No
B64693809,63,M,UK,11,0,2,1400,3,Garage,4,No
A44247573,78,M,UK,42,0,1,1600,5,Garage,1,No
B38133462,41,M,UK,8,0,0,1200,2,Garage,8,No
B50092517,65,M,UK,45,0,1,1200,2,Garage,1,No
B17732917,72,F,UK,7,0,4,1600,3,Garage,1,Yes
A78478178,57,M,UK,37,0,3,1200,4,Road,13,Yes
A96931347,67,F,UK,39,0,4,1200,5,Garage,6,No
A79810890,36,M,UK,9,0,3,1200,6,Garage,10,No
A32157866,35,F,UK,6,0,0,1200,5,Garage,8,No
B18000021,58,F,UK,18,0,4,1200,6,Garage,3,No
A89620928,67,F,UK,50,0,3,1200,3,Garage,4,No
B88336994,63,M,UK,24,0,4,1200,4,Garage,3,No
B16596845,26,M,UK,5,0,3,1400,5,Garage,2,No
A2356847,68,F,UK,20,0,0,1200,4,Garage,9,No
B55430822,58,M,UK,25,0,1,1200,5,Drive,3,Yes
A94307046,36,F,UK,15,0,0,1600,4,Road,1,No
B8049904,37,F,UK,18,0,1,1200,5,Garage,2,No
B95956776,70,F,UK,44,0,0,1400,4,Garage,2,Yes
B25945468,20,F,UK,1,0,3,1200,4,Garage,1,No
B33598712,67,F,UK,39,0,3,1600,4,Garage,1,Yes
B31866860,60,F,UK,22,0,2,1600,4,Garage,1,Yes
A23792386,32,M,UK,7,0,0,1400,5,Road,2,Yes
A85871211,40,M,UK,14,0,4,1600,5,Road,4,Yes
B53711260,19,M,UK,2,0,1,1200,4,Drive,15,Yes
A61535841,55,F,UK,33,0,0,2000,4,Garage,13,Yes
B27226288,77,F,UK,10,0,0,1600,4,Drive,10,Yes
A15046284,23,M,UK,5,0,4,1400,6,Garage,2,Yes
A84322020,72,F,UK,47,0,2,1400,4,Road,11,Yes
